,demand_PNG,PV_B,WindOnshore_B,PV_N,WindOnshore_N,Wave_N,WindOffshore_N,Hydro_B,Geothermal_B
t1870,782.419,0,0,0,0,0.082425326,280.9667969,115000,10958.9
t1871,704.7011,0,0,0,0,0.082677267,314.6066589,115000,10958.9
t1872,641.2321,0,0,0,0,0.082929209,230.1215363,115000,10958.9
t1873,602.3134,0,0,0,0,0.08318115,133.6835785,115000,10958.9
t1874,583.279,0,0,0,0,0.082613714,0,115000,10958.9
t1875,574.1226,0,0,0,0,0.082586408,0,115000,10958.9
t1876,567.4522,0,0,0,0,0.082559101,0,115000,10958.9
t1877,561.105,0,0,0,0,0.084122278,0,115000,10958.9
t1878,573.3793,0,0,0,0,0.085685447,67.22265625,115000,10958.9
t1879,613.4033,101291.5,0,101291.5,0,0.087248623,203.7313995,115000,10958.9
t1880,616.8798,204915.4,0,204915.4,0,0.091214091,485.7673645,115000,10958.9
t1881,658.5779,655335.9,0,655335.9,0,0.095035985,694.6802368,115000,10958.9
t1882,683.4278,624608.8,0,624608.8,0,0.099386916,645.9160156,115000,10958.9
t1883,672.5262,1119714,0,1119714,0,0.100297607,876.668335,115000,10958.9
t1884,693.3909,690792.8,0,690792.8,0,0.101208299,1027.998901,115000,10958.9
t1885,655.0472,1227684,0,1227684,0,0.102118991,849.3544922,115000,10958.9
t1886,663.1548,880988.7,0,880988.7,0,0.101565249,796.5724487,115000,10958.9
t1887,705.4916,588891.2,0,588891.2,0,0.1010115,1282.505249,115000,10958.9
t1888,676.2113,666373.5,0,666373.5,0,0.100457758,1533.089355,115000,10958.9
t1889,704.3063,393351.5,0,393351.5,0,0.100431614,1596.257324,115000,10958.9
t1890,704.1748,132395.5,0,132395.5,0,0.100405477,686.0368042,115000,10958.9
t1891,726.3258,0,0,0,0,0.100379333,593.4568481,115000,10958.9
t1892,901.0147,0,0,0,0,0.101548754,916.3646851,115000,10958.9
t1893,899.6181,0,90.12463,0,90.12463,0.102718174,650.8726196,115000,10958.9
t1894,814.1301,0,122.9715,0,122.9715,0.103887595,185.8428192,115000,10958.9
t1895,730.4794,0,93.62454,0,93.62454,0.105332904,42.69566345,115000,10958.9
t1896,666.0944,0,67.70803,0,67.70803,0.106778204,208.0857239,115000,10958.9
t1897,607.8396,0,0,0,0,0.108223513,280.3544617,115000,10958.9
t1898,585.3932,0,0,0,0,0.11092297,138.6650848,115000,10958.9
t1899,571.4368,0,0,0,0,0.113622434,0,115000,10958.9
t1900,567.862,0,0,0,0,0.116321892,0,115000,10958.9
t1901,557.6518,0,0,0,0,0.116967462,0,115000,10958.9
t1902,569.3235,0,110.8584,0,110.8584,0.116592385,107.7410889,115000,10958.9
t1903,603.1264,196880.4,92.67007,196880.4,92.67007,0.115920596,351.5191345,115000,10958.9
t1904,626.4824,534360.1,189.9586,534360.1,189.9586,0.119772583,687.5394287,115000,10958.9
t1905,706.4818,876090.6,104.6123,876090.6,104.6123,0.123624578,847.4078369,115000,10958.9
t1906,740.8788,1240060,0,1240060,0,0.127476573,755.5610352,115000,10958.9
t1907,731.0359,1516902,36.46673,1516902,36.46673,0.131867975,709.286377,115000,10958.9
t1908,723.9878,1346693,55.31302,1346693,55.31302,0.135736138,1138.485718,115000,10958.9
t1909,659.4062,1305951,119.8156,1305951,119.8156,0.1392802,1320.603516,115000,10958.9
t1910,709.0661,1093468,75.03014,1093468,75.03014,0.150027916,1516.157959,115000,10958.9
t1911,692.5573,881816.3,224.1088,881816.3,224.1088,0.160775632,2029.711304,115000,10958.9
t1912,683.3024,647501.9,241.999,647501.9,241.999,0.172109514,2113.497803,115000,10958.9
t1913,677.4468,393344.9,442.6408,393344.9,442.6408,0.177289486,1102.583374,115000,10958.9
t1914,622.2666,130858.5,138.06,130858.5,138.06,0.182469457,613.7575684,115000,10958.9
t1915,637.1821,0,95.8849,0,95.8849,0.187649429,291.7104492,115000,10958.9
t1916,755.3577,0,47.32685,0,47.32685,0.19098258,388.2675476,115000,10958.9
t1917,746.6639,0,0,0,0,0.194315746,234.8602753,115000,10958.9
t1918,693.9048,0,0,0,0,0.197648913,252.0030975,115000,10958.9
t1919,640.8929,0,0,0,0,0.199017748,402.9979553,115000,10958.9
t1920,590.7408,0,0,0,0,0.200386584,257.2082214,115000,10958.9
t1921,559.4175,0,0,0,0,0.201755419,149.1004791,115000,10958.9
t1922,540.4901,0,0,0,0,0.200726107,153.8894806,115000,10958.9
t1923,530.4958,0,0,0,0,0.199696779,141.428772,115000,10958.9
t1924,523.2626,0,0,0,0,0.198667467,140.4149475,115000,10958.9
t1925,522.2182,0,0,0,0,0.196048692,335.3616333,115000,10958.9
t1926,525.3642,0,0,0,0,0.193429917,333.674469,115000,10958.9
t1927,556.6851,21580.09,0,21580.09,0,0.190811142,341.7765198,115000,10958.9
t1928,552.9807,136933.3,0,136933.3,0,0.187393472,443.9694214,115000,10958.9
t1929,582.7526,473317.6,0,473317.6,0,0.183975786,309.474884,115000,10958.9
t1930,624.6387,593176.7,0,593176.7,0,0.180558115,238.9732208,115000,10958.9
t1931,595.9782,858923.2,0,858923.2,0,0.177054152,464.8573303,115000,10958.9
t1932,596.2772,1000253,0,1000253,0,0.173550203,519.6060791,115000,10958.9
t1933,606.3982,1260336,0,1260336,0,0.170046255,588.4885864,115000,10958.9
t1934,618.4714,1208678,0,1208678,0,0.166534886,386.8564148,115000,10958.9
t1935,625.9934,521020.3,0,521020.3,0,0.163023531,226.4484406,115000,10958.9
t1936,603.33,465003.3,0,465003.3,0,0.159512162,199.7148743,115000,10958.9
t1937,595.3811,282028.8,0,282028.8,0,0.15635699,251.0420532,115000,10958.9
t1938,574.7744,61735.54,0,61735.54,0,0.153201804,0,115000,10958.9
t1939,584.2382,0,0,0,0,0.150046632,0,115000,10958.9
t1940,681.0503,0,37.18741,0,37.18741,0.147256136,0,115000,10958.9
t1941,679.1826,0,0,0,0,0.144809768,0,115000,10958.9
t1942,637.0702,0,0,0,0,0.142363414,100.6372299,115000,10958.9
t1943,596.9758,0,0,0,0,0.139864072,0,115000,10958.9
t1944,559.5061,0,0,0,0,0.13736473,0,115000,10958.9
t1945,527.0503,0,0,0,0,0.134865388,0,115000,10958.9
t1946,507.5693,0,0,0,0,0.132724121,0,115000,10958.9
t1947,505.5423,0,0,0,0,0.130582869,0,115000,10958.9
t1948,508.9913,0,35.061,0,35.061,0.128441602,108.7175064,115000,10958.9
t1949,512.1943,0,0,0,0,0.126444608,705.0216675,115000,10958.9
t1950,512.9367,0,0,0,0,0.124447607,977.2061157,115000,10958.9
t1951,531.2544,189405.7,0,189405.7,0,0.122450605,847.3553467,115000,10958.9
t1952,543.9058,413447.6,0,413447.6,0,0.119176753,973.6537476,115000,10958.9
t1953,547.407,711151.1,0,711151.1,0,0.115902893,1080.55542,115000,10958.9
